true\pred,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_718,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__RM_126,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_708,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_001,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_020,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_030,Lise-Meitner-Str-9_9377__Outdoor__North,Lise-Meitner-Str-9_9377__Outdoor__North_East,Lise-Meitner-Str-9_9377__Outdoor__South,Lise-Meitner-Str-9_9377__Outdoor__South_East,Willy-Messerschmitt-5_9387__Indoor__HW_701,Willy-Messerschmitt-5_9387__Indoor__RM_006,Willy-Messerschmitt-5_9387__Indoor__RM_011,Willy-Messerschmitt-5_9387__Indoor__RM_012,Willy-Messerschmitt-5_9387__Indoor__RM_019,Willy-Messerschmitt-5_9387__Indoor__RM_020,Willy-Messerschmitt-5_9387__Outdoor__Main_entrance
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,28,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_718,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__RM_126,0,0,0,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,0,0,1,0,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_708,0,0,0,0,2,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,0,0,1,0,1,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_001,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,0,0,0,0,0,0,1,0,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,0,0,0,0,0,0,0,0,4,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_020,0,0,0,0,0,0,0,2,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_030,0,0,0,0,0,0,1,0,1,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Outdoor__North,0,0,1,0,0,0,0,0,0,0,0,0,0,53,1,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Outdoor__North_East,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72,1,4,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Outdoor__South,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,79,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Outdoor__South_East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,64,1,0,0,0,0,0,0
Willy-Messerschmitt-5_9387__Indoor__HW_701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,62,0,0,0,0,0,0
Willy-Messerschmitt-5_9387__Indoor__RM_006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
Willy-Messerschmitt-5_9387__Indoor__RM_011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,2,0,0,0
Willy-Messerschmitt-5_9387__Indoor__RM_012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,48,0,0,0
Willy-Messerschmitt-5_9387__Indoor__RM_019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,9,0
Willy-Messerschmitt-5_9387__Indoor__RM_020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,36,0
Willy-Messerschmitt-5_9387__Outdoor__Main_entrance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
