true\pred,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_718,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,Lise-Meitner-Str-9_9377__Indoor__9377_1OG__RM_126,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_708,Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_001,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_020,Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_030,Lise-Meitner-Str-9_9377__Outdoor__North,Lise-Meitner-Str-9_9377__Outdoor__North_East,Lise-Meitner-Str-9_9377__Outdoor__South,Lise-Meitner-Str-9_9377__Outdoor__South_East,Willy-Messerschmitt-5_9387__Indoor__HW_701,Willy-Messerschmitt-5_9387__Indoor__RM_006,Willy-Messerschmitt-5_9387__Indoor__RM_011,Willy-Messerschmitt-5_9387__Indoor__RM_012,Willy-Messerschmitt-5_9387__Indoor__RM_019,Willy-Messerschmitt-5_9387__Indoor__RM_020,Willy-Messerschmitt-5_9387__Outdoor__Main_entrance
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_716,27,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_718,1,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__HW_719,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_1OG__RM_126,0,0,0,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_706,1,0,1,0,40,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_708,0,1,0,0,4,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__HW_709,2,0,0,0,2,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_001,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_006,0,0,0,0,0,0,1,0,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_008,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_012,0,0,1,0,0,0,0,0,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_020,0,0,0,0,0,0,0,2,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Indoor__9377_EG__RM_030,0,0,0,0,0,0,1,0,1,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Outdoor__North,0,1,0,0,0,0,0,0,0,0,0,0,0,52,0,1,0,0,0,0,0,1,0,0
Lise-Meitner-Str-9_9377__Outdoor__North_East,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69,1,7,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Outdoor__South,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,77,1,0,0,0,0,0,0,0
Lise-Meitner-Str-9_9377__Outdoor__South_East,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,63,0,0,0,0,0,0,0
Willy-Messerschmitt-5_9387__Indoor__HW_701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,1,0,0
Willy-Messerschmitt-5_9387__Indoor__RM_006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
Willy-Messerschmitt-5_9387__Indoor__RM_011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,2,1,0,0
Willy-Messerschmitt-5_9387__Indoor__RM_012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,48,0,0,0
Willy-Messerschmitt-5_9387__Indoor__RM_019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,7,0
Willy-Messerschmitt-5_9387__Indoor__RM_020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,35,0
Willy-Messerschmitt-5_9387__Outdoor__Main_entrance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,75
